"emotion
[ɪˈmoʊ.ʃən]"	핵심 뜻: 감정
"empathy
[ˈem.pə.θi]"	"핵심 뜻: 공감
구분: empathy=남의 감정을 함께 느끼는 공감 / sympathy=안타깝게 여기는 동정"
"expectation
[ˌek.spekˈteɪ.ʃən]"	"핵심 뜻: 기대 / 예상
구분: expectation=앞으로 그렇게 될 거라는 예상 / hope=바라는 마음"
"framing
[ˈfreɪ.mɪŋ]"	핵심 뜻: 틀 짓기
"gratification
[ˌɡræt̬.ə.fəˈkeɪ.ʃən]"	핵심 뜻: 만족감
"habit
[ˈhæb.ɪt]"	핵심 뜻: 습관
"identity
[aɪˈden.t̬ə.t̬i]"	핵심 뜻: 정체성
"impulsive
[ɪmˈpʌl.sɪv]"	핵심 뜻: 충동적인
"intention
[ɪnˈten.ʃən]"	"핵심 뜻: 의도
구분: intention=하려는 마음과 의도 / impulse=즉각 튀는 충동"
"judgment
[ˈdʒʌdʒ.mənt]"	"핵심 뜻: 판단
구분: judgment=따져 본 뒤 내린 판단 / opinion=의견"
"learning
[ˈlɝː.nɪŋ]"	핵심 뜻: 학습
"memory
[ˈmem.ər.i]"	핵심 뜻: 기억
"mindfulness
[ˈmaɪnd.fəl.nəs]"	핵심 뜻: 마음챙김
"misconception
[ˌmɪs.kənˈsep.ʃən]"	"핵심 뜻: 오해
구분: misconception=잘못 굳어진 오해 / error=개별 실수"
"aspiration
[ˌæs.pəˈreɪ.ʃən]"	핵심 뜻: 열망
"personality
[ˌpɝː.sənˈæl.ə.t̬i]"	핵심 뜻: 성격
"preference
[ˈpref.ər.əns]"	핵심 뜻: 선호
"priming
[praɪm]"	핵심 뜻: 점화 효과
"reasoning
[ˈriː.zən.ɪŋ]"	"핵심 뜻: 추론
구분: reasoning=근거를 따라 따지는 사고 / intuition=설명 전 먼저 오는 감"
"recognition
[ˌrek.əɡˈnɪʃ.ən]"	"핵심 뜻: 인식 / 알아봄
구분: recognition=보고 알아봄 / recall=단서 없이 떠올림"
"self-control
[ˌself.kənˈtroʊl]"	"핵심 뜻: 자기통제
구분: self-control=충동을 눌러 버티는 힘 / self-regulation=행동과 감정을 스스로 조절하는 과정"
"self-regulation
[ˌself.reɡ.jəˈleɪ.ʃən]"	"핵심 뜻: 자기조절
구분: self-regulation=상태를 스스로 조절하는 과정 / self-control=충동을 참는 힘"
"self-esteem
[ˌself.ɪˈstiːm]"	핵심 뜻: 자존감
"strain
[streɪn]"	"핵심 뜻: 부담
구분: strain=지속 압박에서 오는 긴장 / stress=스트레스 일반"
"temperament
[ˈtem.pɚ.ə.mənt]"	"핵심 뜻: 기질
구분: temperament=타고난 기질 / personality=전반적 성격"
"tendency
[ˈten.dən.si]"	핵심 뜻: 경향
"uncertainty
[ʌnˈsɝː.tən.ti]"	"핵심 뜻: 불확실성
구분: uncertainty=확신할 수 없음 / risk=손실 가능성을 안고 있음"
"willpower
[ˈwɪl.paʊ.ɚ]"	핵심 뜻: 의지력
"withdrawal
[wɪðˈdrɑː.əl]"	핵심 뜻: 철회 / 물러남
"attribution
[ˌæt.rəˈbjuː.ʃən]"	핵심 뜻: 원인 귀속
"avoidance
[əˈvɔɪ.dəns]"	핵심 뜻: 회피
"commitment
[kəˈmɪt.mənt]"	핵심 뜻: 헌신
"conditioning
[kənˈdɪʃ.ən.ɪŋ]"	핵심 뜻: 조건형성
