"illustrative
[ɪˈlʌs.trə.t̬ɪv]"	핵심 뜻: 예시가 되는
"implausible
[ɪmˈplɑː.zə.bəl]"	"핵심 뜻: 그럴듯하지 않은
구분: implausible=설득력 있게 믿기 어려운 / unlikely=가능성이 낮은"
"inconsistency
[ˌɪn.kənˈsɪs.tən.si]"	"핵심 뜻: 불일치
구분: inconsistency=내용이나 기준이 서로 어긋남 / contradiction=정면으로 충돌하는 모순"
"misinterpret
[ˌmɪs.ɪnˈtɝː.prət]"	"핵심 뜻: 잘못 해석하다
구분: misinterpret=의미를 잘못 해석하다 / misunderstand=잘못 이해하다 일반"
"nuanced
[ˈnuː.ɑːnst]"	"핵심 뜻: 미묘한 차이를 살린 / 정교한
구분: nuanced=미묘한 차이까지 반영한 / subtle=차이가 섬세한"
"overgeneralize
[ˌoʊ.vɚˈdʒen.ər.əl.aɪz]"	"핵심 뜻: 과도하게 일반화하다
구분: overgeneralize=근거보다 너무 넓게 일반화하다 / generalize=일반화하다"
"overstate
[ˌoʊ.vɚˈsteɪt]"	"핵심 뜻: 과장해 말하다
구분: overstate=실제보다 강하게 말하다 / exaggerate=과장하다"
"paraphrase
[ˈper.ə.freɪz]"	"핵심 뜻: 바꿔 말하다 / 의역하다
구분: paraphrase=뜻을 살려 다른 말로 바꾸다 / quote=원문 그대로 인용하다"
"plausibility
[ˌplɑː.zəˈbɪl.ə.t̬i]"	핵심 뜻: 그럴듯함 / 개연성
"positioning
[pəˈzɪʃənɪŋ]"	"핵심 뜻: 입장 설정
구분: positioning=어떤 입장·자리로 배치해 보이게 함 / framing=해석 틀을 씌움"
"premise
[ˈprem.ɪs]"	"핵심 뜻: 전제
구분: premise=논증이 출발하는 전제 / conclusion=최종 결론"
"presuppose
[ˌpriː.səˈpoʊz]"	"핵심 뜻: 전제로 깔다
구분: presuppose=이미 사실로 전제하다 / assume=가정하다"
"rebut
[rɪˈbʌt]"	"핵심 뜻: 반박하다
구분: rebut=근거를 들어 반박하다 / refute=틀렸음을 입증하며 논파하다"
"reframe
[ˌriːˈfreɪm]"	"핵심 뜻: 틀을 다시 짜다 / 다른 관점으로 다시 제시하다
구분: reframe=해석의 틀을 다시 설정하다 / reinterpret=다시 해석하다"
"rhetorical
[rɪˈtɔːr.ɪ.kəl]"	"핵심 뜻: 수사적인
구분: rhetorical=표현 방식과 설득 효과의 / argumentative=논증적인"
"salience
[ˈseɪ.li.əns]"	"핵심 뜻: 두드러짐 / 현저성
구분: salience=특히 눈에 띄고 중요하게 보임 / prominence=두드러진 위치"
"scholarly
[ˈskɑː.lɚ.li]"	핵심 뜻: 학술적인
"source-based
[sɔrs beɪst]"	"핵심 뜻: 출처 기반의
구분: source-based=출처와 자료에 근거한 / evidence-based=검증된 근거에 기반한"
"stance
[stæns]"	"핵심 뜻: 입장
구분: stance=쟁점에 대한 입장과 관점 / position=놓인 자리나 입장"
"substantiated
[səbˈstæn.ʃi.eɪt]"	"핵심 뜻: 근거로 뒷받침된 / 입증된
구분: substantiated=근거로 뒷받침된 / supported=지지받는"
"thematic
[θiːˈmæt̬.ɪk]"	핵심 뜻: 주제 중심의
"thesis
[ˈθiː.sɪs]"	"핵심 뜻: 핵심 주장 / 논지
구분: thesis=글의 중심 논지 / claim=개별 주장"
"understate
[ˌʌn.dɚˈsteɪt]"	"핵심 뜻: 축소해 말하다
구분: understate=실제보다 약하게 말하다 / downplay=중요성을 낮춰 보이게 하다"
"warranted
[ˈwɔːr.ən.t̬ɪd]"	"핵심 뜻: 정당화되는 / 타당한
구분: warranted=근거상 정당화되는 / justified=타당한 이유가 있는"
"perspectival
[pɚˈspek.t̬ɪ.vəl]"	핵심 뜻: 관점에 따른
"unsubstantiated
[ˌʌn.səbˈstæn.ʃi.eɪ.t̬ɪd]"	"핵심 뜻: 근거가 부족한
구분: unsubstantiated=근거가 충분히 뒷받침되지 않은 / unsupported=지지 근거가 없는"
"voice
[vɔɪs]"	핵심 뜻: 서술 목소리 / 어조
"attributional
[ˌæt.rəˌbjuː.ʃən.əl ˈbaɪ.əs]"	핵심 뜻: 귀인과 관련된
"contrastive
[kənˈtræs.tɪv]"	핵심 뜻: 대조적인
"definitional
[ˌdef.əˈnɪʃ.ən.əl]"	핵심 뜻: 정의와 관련된
"text-centered
[tɛkst ˈsɛntərd]"	"핵심 뜻: 본문 중심의
구분: text-centered=본문 표현과 구조에 밀착한 / context-driven=주변 맥락에 크게 기대는"
"well-grounded
[ˌwel ˈɡraʊn.dɪd]"	"핵심 뜻: 근거가 탄탄한
구분: well-grounded=근거와 바탕이 탄탄한 / substantiated=근거로 뒷받침된"
"counterclaim
[ˈkaʊntərˌkleɪm]"	"핵심 뜻: 맞대응 주장 / 맞주장
구분: counterclaim=기존 주장에 맞서는 주장 / counterargument=반대 논거"
"discursive
[dɪˈskɝː.sɪv]"	핵심 뜻: 담화적인
"evidence-backed
[ˈɛvədəns bækt]"	핵심 뜻: 근거로 뒷받침된
