"abstract
[ˈæb.strækt]"	핵심 뜻: 추상적인
"audience-centered
[ˈɔdiəns ˈsɛntərd]"	핵심 뜻: 관객 중심의
"documentary-style
[ˌdɑkjəˈmɛnəri staɪl]"	핵심 뜻: 다큐멘터리식의
"gestural
[ˈdʒes.tʃɚ.əl]"	핵심 뜻: 몸짓의
"handcrafted
[ˈhænd.kræf.tɪd]"	핵심 뜻: 손으로 공들여 만든 듯한 / 수작업 느낌의
"high-contrast
[haɪ ˈkɑntræst]"	핵심 뜻: 고대비의
"imagery
[ˈɪm.ə.dʒər.i]"	"핵심 뜻: 심상
구분: imagery=감각 이미지를 불러오는 표현 / symbolism=상징성"
"presentational
[ˌprez.ənˈteɪ.ʃən.əl]"	핵심 뜻: 제시 방식의
"readability
[ˌriːd.əˈbɪl.ə.t̬i]"	"핵심 뜻: 가독성
구분: readability=읽기 쉬운 정도 / legibility=글자 형태를 알아보기 쉬운 정도"
"rendering
[ˈren.dɚ.ɪŋ]"	"핵심 뜻: 표현 방식 / 구현 결과
구분: rendering=어떤 방식으로 구현해 나타낸 결과 / depiction=묘사"
"repertoire
[ˈrep.ɚ.twɑːr]"	핵심 뜻: 레퍼토리
"agenda-setting
[əˈʤɛndə ˈsɛtɪŋ]"	"핵심 뜻: 의제 설정 / 논의 방향 정하기
구분: agenda-setting=공론장의 논의 우선순위를 정함 / prioritization=우선순위 정하기"
"allyship
[ˈæl.aɪ.ʃɪp]"	"핵심 뜻: 연대적 지지 / 연대 행동
구분: allyship=당사자와 함께하는 지지와 연대 / sympathy=공감"
"asymmetry
[eɪˈsɪm.ə.tri]"	핵심 뜻: 비대칭
"backlash
[ˈbæk.læʃ]"	"핵심 뜻: 역풍
구분: backlash=변화나 조치에 대한 반발 역풍 / criticism=비판"
"bystander
[ˈbaɪˌstæn.dɚ]"	"핵심 뜻: 방관자 / 곁에 있던 사람
구분: bystander=현장에 있으나 개입하지 않는 사람 / witness=목격자"
"civic-minded
[ˈsɪvɪk ˈmaɪndɪd]"	핵심 뜻: 시민의식이 있는
"coalition-building
[ˌkoʊəˈlɪʃən ˈbɪldɪŋ]"	핵심 뜻: 연합 형성
"consensus-building
[kənˈsɛnsəs ˈbɪldɪŋ]"	핵심 뜻: 합의 형성
"deliberative
[dɪˈlɪb.ɚ.ə.t̬ɪv]"	"핵심 뜻: 숙의적인
구분: deliberative=토론과 숙고를 거쳐 판단하는 / impulsive=충동적인"
"dissenting
[dɪˈsen.t̬ɪŋ]"	핵심 뜻: 이견을 내는
"disenfranchised
[ˌdɪs.ɪnˈfræn.tʃaɪzd]"	"핵심 뜻: 권리에서 배제된
구분: disenfranchised=참여 권한과 영향력에서 배제된 / marginalized=주변화된"
"etiquette
[ˈet̬.ɪ.kɪt]"	핵심 뜻: 예절
"grassroots
[ˈɡræs.ruːts]"	"핵심 뜻: 풀뿌리의
구분: grassroots=아래로부터 시민 참여 기반의 / top-down=위에서 내려오는"
"inclusivity
[ˌɪn.kluːˈsɪv.ə.t̬i]"	"핵심 뜻: 포용성
구분: inclusivity=다양한 사람을 배제하지 않고 받아들이는 성질 / diversity=구성의 다양성"
"interpersonal
[ˌɪn.t̬ɚˈpɝː.sən.əl]"	핵심 뜻: 대인 관계의
"marginalized
[ˈmɑːr.dʒɪ.nəl.aɪz]"	"핵심 뜻: 주변화된
구분: marginalized=사회적 중심과 자원에서 밀려난 / disenfranchised=참여 권한이 약한"
"mediation
[ˌmiː.diˈeɪ.ʃən]"	"핵심 뜻: 중재
구분: mediation=제3자가 갈등을 조정하는 중재 / negotiation=당사자 간 협상"
"normative
[ˈnɔːr.mə.t̬ɪv]"	"핵심 뜻: 규범적인
구분: normative=옳고 바람직함의 기준을 담은 / descriptive=있는 그대로 설명하는"
"polarization
[ˌpoʊ.lɚ.əˈzeɪ.ʃən]"	"핵심 뜻: 양극화
구분: polarization=입장과 집단이 양끝으로 갈라짐 / disagreement=의견 불일치"
"stigma
[ˈstɪɡ.mə]"	"핵심 뜻: 낙인
구분: stigma=부정적 사회 낙인 / stereotype=고정된 단순화 이미지"
"unanimity
[ˌjuː.nəˈnɪm.ə.t̬i]"	"핵심 뜻: 만장일치 / 전원 합의
구분: unanimity=전원이 같은 결론에 동의함 / consensus=대체로 함께 받아들일 수 있는 합의"
"whistleblower
[ˈwɪs.əlˌbloʊ.ɚ]"	"핵심 뜻: 내부고발자
구분: whistleblower=내부 문제를 신고·공개하는 사람 / informant=정보 제공자"
"consultative
[kənˈsʌl.t̬ə.t̬ɪv]"	핵심 뜻: 의견 수렴형의
"cross-cultural
[ˌkrɑːsˈkʌl.tʃɚ.əl]"	"핵심 뜻: 문화 간의
구분: cross-cultural=서로 다른 문화권 사이의 / intracultural=한 문화권 내부의"
"identity-based
[aɪˈdɛntəˌti beɪst]"	핵심 뜻: 정체성 기반의
"intergroup
[ˌɪn.t̬ɚˈɡruːp]"	"핵심 뜻: 집단 간의
구분: intergroup=집단 사이의 / intragroup=집단 내부의"
"majoritarian
[ˌmæʤərɪˈtɛriən]"	"핵심 뜻: 다수결 중심의
구분: majoritarian=다수의 뜻을 우선하는 / pluralistic=여러 집단 공존을 인정하는"
"pluralistic
[ˈplʊr.əl.ɪ.zəm]"	"핵심 뜻: 다원주의적인
구분: pluralistic=다양한 집단과 입장의 공존을 인정하는 / majoritarian=다수 우선의"
"subgroup
[ˈsʌbˌɡruːp]"	핵심 뜻: 하위 집단
"turn-taking
[tərn ˈteɪkɪŋ]"	핵심 뜻: 발언 순서 교대
"cross-sector
[krɔs ˈsɛktər]"	핵심 뜻: 부문 간의
"dialogic
[ˌdaɪ.əˈlɑː.dʒɪk]"	"핵심 뜻: 대화적인
구분: dialogic=상호응답적 대화의 / monologic=일방향 발화의"
"diplomatic
[ˌdɪp.ləˈmæt̬.ɪk]"	핵심 뜻: 외교적이고 신중한
"facilitative
[fəˈsɪl.əˌteɪ.t̬ɪv]"	"핵심 뜻: 촉진적인 / 참여를 돕는
구분: facilitative=과정과 참여를 촉진하는 / directive=지시적인"
"institutionalized
[ˌɪn.stəˈtuː.ʃən.ə.laɪzd]"	핵심 뜻: 제도화된
"out-group
[ˈaʊtˌɡruːp]"	"핵심 뜻: 외집단
구분: out-group=자기 집단 바깥으로 구분된 집단 / in-group=자기 소속 집단"
"value-laden
[ˈvælju ˈleɪdən]"	핵심 뜻: 가치 판단이 실린
"carbon-neutral
[ˌkɑːr.bənˈnuː.trəl]"	"핵심 뜻: 탄소중립의
구분: carbon-neutral=순탄소배출을 상쇄해 균형을 맞춘 / low-emission=배출이 적은"
"climate-sensitive
[ˈklaɪmɪt ˈsɛnsɪtɪv]"	핵심 뜻: 기후에 민감한
"depletion
[dɪˈpliː.ʃən]"	"핵심 뜻: 고갈
구분: depletion=자원이나 저장량이 줄어 고갈됨 / shortage=당장 부족한 상태"
"drought-prone
[draʊt proʊn]"	"핵심 뜻: 가뭄이 잦은
구분: drought-prone=가뭄이 자주 생기기 쉬운 / water-scarce=물 자원이 부족한"
"future-oriented
[fˈjuʧər ˈɔriˌɛntɪd]"	핵심 뜻: 미래 지향적인
"low-emission
[ˌloʊ iˈmɪʃ.ən ˌzoʊn]"	핵심 뜻: 저배출의
"net-zero
[ˌnet ˈzɪr.oʊ]"	"핵심 뜻: 순배출 제로의
구분: net-zero=순배출을 0에 맞추는 / zero-emission=배출 자체를 없애는"
"overextraction
[ˌoʊ.vɚ.ɪkˈstræk.ʃən]"	"핵심 뜻: 과잉 채취
구분: overextraction=자원을 과도하게 뽑아 씀 / depletion=고갈되어 줄어듦"
"resource-efficient
[ˈrisɔrs ɪˈfɪʃənt]"	핵심 뜻: 자원 효율적인
"scarcity
[ˈsker.sə.t̬i]"	"핵심 뜻: 희소성 / 부족 상태
구분: scarcity=수요에 비해 자원이 부족한 상태 / shortage=당장의 부족"
"water-stressed
[ˈwɑː.t̬ɚ.strest]"	핵심 뜻: 물 스트레스가 큰
"low-impact
[ˌloʊˈɪm.pækt]"	핵심 뜻: 환경 부담이 적은
"low-waste
[loʊ weɪst]"	핵심 뜻: 저폐기물의
"preparedness
[prɪˈper.əd.nəs]"	"핵심 뜻: 대비 태세 / 사전 대비 수준
구분: preparedness=사전 대비 수준 / readiness=실행 준비 상태"
"low-carbon
[ˌloʊˈkɑːr.bən]"	핵심 뜻: 저탄소의
"greenwashing
[ˈɡriːn.wɑː.ʃɪŋ]"	"핵심 뜻: 위장 친환경 홍보 / 그린워싱
구분: greenwashing=실제보다 친환경적으로 과장 포장함 / branding=이미지 구축"
"pollution-intensive
[pəˈluʃən ˌɪnˈtɛnsɪv]"	핵심 뜻: 오염 배출이 많은 / 단위 활동마다 오염 부담이 큰
"resource-sharing
[ˈrisɔrs ˈʃɛrɪŋ]"	핵심 뜻: 자원 공유
"ecosystem-based
[ˈikoʊˌsɪstəm beɪst]"	핵심 뜻: 생태계 기반의
"low-vulnerability
[loʊ ˌvəlnərəˈbɪlɪti]"	핵심 뜻: 저취약성의
"future-proofing
[ˈfjuː.tʃɚ.pruːf]"	"핵심 뜻: 미래 대비 보강 / 선제 설계
구분: future-proofing=앞으로의 변화에도 버티게 미리 설계함 / maintenance=현재 상태를 유지함"
"rechargeable
[riːˈtʃɑːr.dʒə.bəl]"	핵심 뜻: 재충전 가능한
"reschedule
[ˌriːˈskedʒ.uːl]"	"핵심 뜻: 일정을 다시 잡다
구분: reschedule=일정을 다시 잡다 / postpone=뒤로 미루다"
"resend
[ˌriːˈsend]"	핵심 뜻: 다시 보내다
"rebook
[ˌriːˈbʊk]"	핵심 뜻: 다시 예약하다
"recheck
[ˌriːˈtʃek]"	핵심 뜻: 다시 확인하다
"reapply
[ˌriː.əˈplaɪ]"	핵심 뜻: 다시 지원하다
"preregister
[ˌpriːˈredʒ.ɪ.stɚ]"	핵심 뜻: 사전 등록하다
"shortlist
[ˈʃɔːrt.lɪst]"	"핵심 뜻: 최종 후보로 추리다 / 압축해 추리다
구분: shortlist=최종 후보로 추리다 / select=선정하다"
"dropoff
[drɑːp]"	핵심 뜻: 맡기기
