"usable
[ˈjuː.zə.bəl]"	핵심 뜻: 사용 가능한
"nutrient
[ˈnuː.tri.ənt]"	핵심 뜻: 영양분
"overexploit
[ˌoʊ.vɚ.ɪkˈsplɔɪt]"	"핵심 뜻: 과도하게 이용하다 / 남용하다
구분: overexploit=자원을 과도 이용 / exploit=활용·착취"
"variance
[ˈver.i.əns]"	핵심 뜻: 분산 / 변동
"reflection
[rɪˈflek.ʃən]"	핵심 뜻: 성찰 / 되돌아보기
"overuse
[ˌoʊ.vɚˈjuːz]"	핵심 뜻: 과용
"pasture
[ˈpæs.tʃɚ]"	핵심 뜻: 목초지 / 방목지
"summary
[ˈsʌm.ɚ.i]"	핵심 뜻: 요약
"countermeasure
[ˈkaʊn.t̬ɚˌmeʒ.ɚ]"	핵심 뜻: 대응책
"foundational
[faʊnˈdeɪ.ʃən.əl]"	핵심 뜻: 기초가 되는 / 토대의
"recommendation
[ˌrek.ə.menˈdeɪ.ʃən]"	핵심 뜻: 권고 / 추천
"stakeholder
[ˈsteɪkˌhoʊl.dɚ]"	"핵심 뜻: 이해관계자
구분: stakeholder=영향을 주고받는 관련 당사자 / participant=참가자"
"preservation
[ˌprez.ɚˈveɪ.ʃən]"	핵심 뜻: 보존 / 유지
"comparison
[kəmˈper.ɪ.sən]"	핵심 뜻: 비교 / 대조
"recharge
[ˌriːˈtʃɑːrdʒ]"	핵심 뜻: 다시 채우다 / 재충전되다
"reclamation
[ˌrek.ləˈmeɪ.ʃən]"	핵심 뜻: 간척 / 개간
"revitalization
[riːˌvaɪtələˈzeɪʃən]"	핵심 뜻: 활성화
"replenish
[rɪˈplen.ɪʃ]"	핵심 뜻: 다시 채우다 / 보충하다
"storage
[ˈstɔːr.ɪdʒ]"	핵심 뜻: 저장
"guidance
[ˈɡaɪ.dəns]"	핵심 뜻: 지도 / 안내
"spillover
[ˈspɪlˌoʊ.vɚ]"	핵심 뜻: 파급 효과
"initiative
[ɪˈnɪʃ.ə.t̬ɪv]"	핵심 뜻: 주도성
"completion
[kəmˈpliː.ʃən]"	핵심 뜻: 완료
"orientation
[ˌɔːr.i.enˈteɪ.ʃən]"	핵심 뜻: 방향 설정 / 오리엔테이션
"visibility
[ˌvɪz.əˈbɪl.ə.t̬i]"	핵심 뜻: 가시성
"stewardship
[ˈstuː.ɚd.ʃɪp]"	핵심 뜻: 책임 있는 관리 / 보전 관리
"sustainable
[səˈsteɪ.nə.bəl]"	핵심 뜻: 지속 가능한
"thaw
[θɑː]"	핵심 뜻: 녹다 / 해빙되다
"adjustment
[əˈdʒʌst.mənt]"	핵심 뜻: 조정 / 수정
"observational
[ˌɑːb.zɚˈveɪ.ʃən.əl]"	핵심 뜻: 관찰 기반의 / 관찰용의
"vegetation
[ˌvedʒ.əˈteɪ.ʃən]"	핵심 뜻: 식생 / 초목
"transitional
[trænˈzɪʃ.ən.əl]"	핵심 뜻: 전환기의
"participatory
[pɑːrˈtɪs.ə.pəˌtɔːr.i]"	핵심 뜻: 참여형의
"preparatory
[prɪˈper.ə.tɔːr.i]"	핵심 뜻: 준비 단계의 / 예비적인
"anthropogenic
[ˌæn.θrə.pəˈdʒen.ɪk]"	"핵심 뜻: 인간 활동에서 비롯된 / 인위적인
구분: anthropogenic=인간 활동 기원 / artificial=인공적"
"desalination
[diːˌsæl.əˈneɪ.ʃən]"	핵심 뜻: 담수화
"desertification
[dɪˌzɝː.t̬ə.fəˈkeɪ.ʃən]"	"핵심 뜻: 사막화
구분: desertification=토지의 사막화 과정 / drought=가뭄"
"ecological
[ˌiː.kəˈlɑː.dʒɪ.kəl]"	"핵심 뜻: 생태학적인 / 생태계의
구분: ecological=생태계 관계 관련 / environmental=환경 전반 관련"
"workflow
[ˈwɝːk.floʊ]"	핵심 뜻: 작업 흐름
"junction
[ˈdʒʌŋk.ʃən]"	핵심 뜻: 접합 지점 / 합류점
"floodplain
[ˈflʌdˌpleɪn]"	핵심 뜻: 범람원
"strategic
[strəˈtiː.dʒɪk]"	핵심 뜻: 전략적인
"accommodating
[əˈkɑː.mə.deɪ.t̬ɪŋ]"	핵심 뜻: 협조적인
"analysis
[əˈnæl.ə.sɪs]"	핵심 뜻: 분석
"infiltration
[ˌɪn.fɪlˈtreɪ.ʃən]"	"핵심 뜻: 침투 / 스며듦
구분: infiltration=안으로 스며듦 / runoff=표면 유출"
"coordinated
[koʊˈɔːr.dən.eɪ.t̬ɪd]"	핵심 뜻: 조율된
"agent
[ˈeɪ.dʒənt]"	핵심 뜻: 작용 주체 / 행위자
"propagate
[ˈprɑː.pə.ɡeɪt]"	"핵심 뜻: 전파되다
구분: propagate=신호·정보·영향이 퍼져 나가다 / diffuse=넓게 확산되다"
"roadmapping
[ˈroʊdˌmæp.ɪŋ]"	핵심 뜻: 실행 로드맵을 짜기
"evaluative
[ɪˈvæl.ju.eɪ.t̬ɪv]"	핵심 뜻: 평가적인
"instructional
[ɪnˈstrʌk.ʃən.əl]"	핵심 뜻: 교육용의 / 교수의
"drainage
[ˈdreɪ.nɪdʒ]"	"핵심 뜻: 배수
구분: drainage=물을 빼내는 체계 / irrigation=물을 대는 체계"
"interpretive
[ɪnˈtɝː.prə.t̬ɪv]"	"핵심 뜻: 해석의
구분: interpretive=의미 해석 중심 / analytical=구조 분석 중심"
"manageable
[ˈmæn.ə.dʒə.bəl]"	핵심 뜻: 감당할 수 있는 / 다루기 쉬운
"negotiable
[nəˈɡoʊ.ʃi.ə]"	핵심 뜻: 협상 가능한
