removed_from	replaced_with	reason
toefl_ets_2026_set_05.tsv:7	concession	replaced duplicate headword subsidy
toefl_ets_2026_set_05.tsv:15	procurement	replaced duplicate headword commodity
toefl_ets_2026_set_05.tsv:90	oversight	replaced duplicate headword enforce
toefl_ets_2026_set_05.tsv:91	litigation	replaced duplicate headword prohibit
toefl_ets_2026_set_07.tsv:7	susceptibility	replaced duplicate headword mortality
toefl_ets_2026_set_07.tsv:90	syndrome	replaced duplicate headword cohort
toefl_ets_2026_set_07.tsv:93	pathway	replaced duplicate headword stratify
toefl_ets_2026_set_07.tsv:95	resilience	replaced duplicate headword disparity
toefl_ets_2026_set_09.tsv:78	solubility	replaced duplicate headword synthesis
toefl_awl_set_01.tsv:2	approach	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:3)
toefl_awl_set_01.tsv:4	assess	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:3)
toefl_awl_set_01.tsv:6	authority	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_05.tsv:81)
toefl_awl_set_01.tsv:8	benefit	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:17)
toefl_awl_set_01.tsv:15	data	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:39)
toefl_awl_set_01.tsv:17	derive	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:10)
toefl_awl_set_01.tsv:18	distribute	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:29)
toefl_awl_set_01.tsv:19	economy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:32)
toefl_awl_set_01.tsv:20	environment	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:48)
toefl_awl_set_01.tsv:22	estimate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:15)
toefl_awl_set_01.tsv:23	evident	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:52)
toefl_awl_set_01.tsv:24	export	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:40)
toefl_awl_set_01.tsv:30	income	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:54)
toefl_awl_set_01.tsv:33	interpret	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:20)
toefl_awl_set_01.tsv:37	legal	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:66)
toefl_awl_set_01.tsv:40	method	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:23)
toefl_awl_set_01.tsv:44	policy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:79)
toefl_awl_set_01.tsv:46	proceed	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:75)
toefl_awl_set_01.tsv:53	sector	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:87)
toefl_awl_set_01.tsv:68	category	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:20)
toefl_awl_set_01.tsv:70	commission	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:24)
toefl_awl_set_01.tsv:71	community	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_14.tsv:10)
toefl_awl_set_01.tsv:73	compute	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:12)
toefl_awl_set_01.tsv:77	construct	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:42)
toefl_awl_set_01.tsv:78	consume	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:19)
toefl_awl_set_01.tsv:81	design	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_11.tsv:2)
toefl_awl_set_01.tsv:82	distinct	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:44)
toefl_awl_set_01.tsv:83	element	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:33)
toefl_awl_set_01.tsv:84	equate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:34)
toefl_awl_set_01.tsv:85	evaluate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:8)
toefl_awl_set_01.tsv:87	final	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:55)
toefl_awl_set_01.tsv:96	normal	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:76)
toefl_awl_set_01.tsv:98	participate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:68)
toefl_awl_set_02.tsv:1	potential	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:81)
toefl_awl_set_02.tsv:2	previous	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:84)
toefl_awl_set_02.tsv:3	primary	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:85)
toefl_awl_set_02.tsv:6	region	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:92)
toefl_awl_set_02.tsv:7	regulate	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_02.tsv:25)
toefl_awl_set_02.tsv:8	relevant	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:94)
toefl_awl_set_02.tsv:10	resource	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_03.tsv:97)
toefl_awl_set_02.tsv:11	restrict	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:84)
toefl_awl_set_02.tsv:16	strategy	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_01.tsv:90)
toefl_awl_set_02.tsv:19	tradition	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:94)
toefl_awl_set_02.tsv:20	transfer	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_04.tsv:95)
toefl_awl_set_02.tsv:21	alternative	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_06.tsv:35)
toefl_awl_set_02.tsv:25	component	removed AWL duplicate already covered in ETS (toefl_ets_2026_set_07.tsv:59)
