"abnormal
[æbˈnɔːr.məl]"	핵심 뜻: 비정상적인
"abolish
[əˈbɑː.lɪʃ]"	"핵심 뜻: 폐지하다 / 없애다
구분: abolish=제도 공식 폐지 / eliminate=없애다"
"accessible
[əkˈses.ə.bəl]"	"핵심 뜻: 접근 가능한
구분: accessible=쉽게 접근 가능 / available=이용 가능"
"administrative
[ædˈmɪn.ɪˌstreɪ.t̬ɪv]"	핵심 뜻: 행정의 / 운영상의
"align
[əˈlaɪn]"	핵심 뜻: 정렬하다 / 일치시키다
"alteration
[ˌɑːl.t̬əˈreɪ.ʃən]"	핵심 뜻: 변경
"amend
[əˈmend]"	"핵심 뜻: 수정하다 / 개정하다
구분: amend=공식 수정 / revise=전반적으로 고치다"
"analogous
[əˈnæl.ə.ɡəs]"	핵심 뜻: 유사한
"anomaly
[əˈnɑː.mə.li]"	"핵심 뜻: 이상 현상 / 예외
구분: anomaly=패턴 속 예외 / exception=일반적 예외"
"approximate
[əˈprɑːk.sə.mət]"	"핵심 뜻: 대략적인 / 근사치의
구분: approximate=근사치의 / estimated=추정된"
"argument
[ˈɑːrɡ.jə.mənt]"	"핵심 뜻: 주장 / 논거
구분: argument=근거 있는 주장 / claim=주장"
"artificial
[ˌɑːr.t̬əˈfɪʃ.əl]"	핵심 뜻: 인공적인
"assumption
[əˈsʌmp.ʃən]"	"핵심 뜻: 가정 / 전제
구분: assumption=전제된 믿음 / premise=논리적 전제"
"authoritative
[əˈθɔːr.ə.t̬ə.t̬ɪv]"	"핵심 뜻: 권위 있는
구분: authoritative=권위와 근거로 신뢰됨 / official=공식 절차상 인정된"
"barrier
[ˈber.i.ɚ]"	핵심 뜻: 장벽 / 장애물
"beneficial
[ˌben.əˈfɪʃ.əl]"	핵심 뜻: 유익한
"bolster
[ˈboʊl.stɚ]"	핵심 뜻: 강화하다 / 떠받치다
"capability
[ˌkeɪ.pəˈbɪl.ə.t̬i]"	핵심 뜻: 능력
"causal
[ˈkɑː.zəl]"	"핵심 뜻: 인과의
구분: causal=원인과 결과의 / correlational=상관의"
"caution
[ˈkɑː.ʃən]"	핵심 뜻: 주의 / 신중함
"clarity
[ˈkler.ə.t̬i]"	핵심 뜻: 명확성
"cohesive
[koʊˈhiː.sɪv]"	"핵심 뜻: 응집력 있는 / 결속된
구분: cohesive=부분들이 잘 결속됨 / coherent=논리적으로 일관됨"
"collaborate
[kəˈlæb.ə.reɪt]"	핵심 뜻: 협력하다
"comparative
[kəmˈper.ə.t̬ɪv]"	"핵심 뜻: 비교의
구분: comparative=비교를 바탕으로 한 / relative=상대적인"
"compelling
[kəmˈpel.ɪŋ]"	핵심 뜻: 설득력 있는 / 강력한
"competent
[ˈkɑːm.pə.t̬ənt]"	핵심 뜻: 유능한 / 능숙한
"complexity
[kəmˈplek.sə.t̬i]"	핵심 뜻: 복잡성
"conceptual
[kənˈsep.tʃu.əl]"	핵심 뜻: 개념적인 / 구상상의
"conclusive
[kənˈkluː.sɪv]"	핵심 뜻: 결정적인 / 확정적인
"confront
[kənˈfrʌnt]"	핵심 뜻: 직면하다 / 맞서다
"conserve
[kənˈsɝːv]"	"핵심 뜻: 보존하다 / 절약하다
구분: conserve=보존·절약하다 / preserve=손상 없이 보존하다"
"constraint
[kənˈstreɪnt]"	"핵심 뜻: 제약
구분: constraint=행동 제약 / limitation=한계"
"consult
[kənˈsʌlt]"	"핵심 뜻: 상의하다 / 참고하다
구분: consult=의견·자료를 참고 / advise=조언하다"
"contaminate
[kənˈtæm.ə.neɪt]"	핵심 뜻: 오염시키다
"contend
[kənˈtend]"	"핵심 뜻: 주장하다 / 다투다
구분: contend=강하게 주장 / compete=경쟁하다"
"contradict
[ˌkɑːn.trəˈdɪkt]"	"핵심 뜻: 모순되다 / 반박하다
구분: contradict=정면으로 모순 / oppose=반대하다"
"controversy
[ˈkɑːn.trə.vɝː.si]"	핵심 뜻: 논란
"convincing
[kənˈvɪn.sɪŋ]"	핵심 뜻: 설득력 있는
"cumulative
[ˈkjuː.mjə.lə.t̬ɪv]"	"핵심 뜻: 누적되는
구분: cumulative=차곡차곡 누적되는 / collective=집단의"
"detrimental
[ˌdet.rəˈmen.t̬əl]"	핵심 뜻: 해로운
"diagnose
[ˌdaɪ.əɡˈnoʊs]"	"핵심 뜻: 진단하다
구분: diagnose=원인 진단 / identify=식별하다"
"dimension
[ˌdɪˈmen.ʃən]"	핵심 뜻: 측면 / 차원
"discrete
[dɪˈskriːt]"	"핵심 뜻: 별개의 / 분리된
구분: discrete=서로 분리된 / distinct=차이가 뚜렷한"
"distinct
[dɪˈstɪŋkt]"	"핵심 뜻: 뚜렷이 다른 / 분명한
구분: distinct=차이가 선명함 / discrete=분리된"
"distort
[dɪˈstɔːrt]"	"핵심 뜻: 왜곡하다 / 비틀다
구분: distort=형태·의미 왜곡 / misrepresent=잘못 전달하다"
"domain
[doʊˈmeɪn]"	핵심 뜻: 영역 / 분야
"efficient
[ɪˈfɪʃ.ənt]"	"핵심 뜻: 효율적인
구분: efficient=낭비 적음 / effective=효과 있음"
"emphasis
[ˈem.fə.sɪs]"	핵심 뜻: 강조
"evoke
[ɪˈvoʊk]"	"핵심 뜻: 불러일으키다 / 환기하다
구분: evoke=감정·기억을 자아냄 / provoke=반응을 유발"
"exploit
[ɪkˈsplɔɪt]"	"핵심 뜻: 활용하다 / 착취하다
구분: exploit=이용하거나 착취 / abuse=남용하다"
"fluctuate
[ˈflʌk.tʃu.eɪt]"	"핵심 뜻: 변동하다 / 오르내리다
구분: fluctuate=오르내리며 변동 / vary=달라지다"
"formulate
[ˈfɔːr.mjə.leɪt]"	핵심 뜻: 공식화하다
"ideology
[ˌaɪ.diˈɑː.lə.dʒi]"	핵심 뜻: 이념
"incorporate
[ɪnˈkɔːr.pɚ.eɪt]"	핵심 뜻: 포함하다 / 통합하다
"inherent
[ɪnˈhɪr.ənt]"	"핵심 뜻: 내재된 / 본질적인
구분: inherent=본질적으로 내재 / acquired=후천적"
"innovate
[ˈɪn.ə.veɪt]"	핵심 뜻: 혁신하다
"inspect
[ɪnˈspekt]"	핵심 뜻: 점검하다 / 조사하다
"integral
[ˈɪn.t̬ə.ɡrəl]"	"핵심 뜻: 필수적인 / 전체를 이루는
구분: integral=전체에 꼭 필요한 / essential=필수적인"
"interact
[ˌɪn.t̬ɚˈækt]"	핵심 뜻: 상호작용하다 / 교류하다
"intermediate
[ˌɪn.t̬ɚˈmiː.di.ət]"	핵심 뜻: 중간의 / 중급의
"intervene
[ˌɪn.t̬ɚˈviːn]"	"핵심 뜻: 개입하다 / 중재하다
구분: intervene=중간에 개입 / mediate=중재하다"
"isolate
[ˈaɪ.sə.leɪt]"	"핵심 뜻: 분리하다 / 고립시키다
구분: isolate=분리해 떼어냄 / separate=나누다"
"likelihood
[ˈlaɪ.kli.hʊd]"	"핵심 뜻: 가능성 / 개연성
구분: likelihood=일어날 가능성 / probability=수학적 확률"
"manipulate
[məˈnɪp.jə.leɪt]"	"핵심 뜻: 조작하다 / 다루다
구분: manipulate=의도적으로 조절 / handle=다루다"
"marginal
[ˈmɑːr.dʒɪ.nəl]"	"핵심 뜻: 주변의 / 미미한
구분: marginal=변두리·미미한 / minor=작은"
"mechanism
[ˈmek.ə.nɪ.zəm]"	핵심 뜻: 메커니즘
"paradigm
[ˈper.ə.daɪm]"	"핵심 뜻: 패러다임
구분: paradigm=지배적 틀 / model=모형"
"participate
[pɑːrˈtɪs.ə.peɪt]"	핵심 뜻: 참여하다 / 참가하다
"persistent
[pɚˈsɪs.tənt]"	핵심 뜻: 지속적인 / 끈질긴
"plausible
[ˈplɑː.zə.bəl]"	"핵심 뜻: 그럴듯한
구분: plausible=겉으로 타당해 보임 / convincing=더 설득력 있음"
"pose
[poʊz]"	"핵심 뜻: 제기하다 / 초래하다
구분: pose=문제·위협을 제기 / create=만들다"
"pragmatic
[præɡˈmæt̬.ɪk]"	"핵심 뜻: 실용적인 / 현실적인
구분: pragmatic=현실 효율 중시 / practical=실용적인"
"predominant
[prɪˈdɑː.mə.nənt]"	핵심 뜻: 지배적인 / 우세한
"preliminary
[prɪˈlɪm.ə.ner.i]"	핵심 뜻: 예비의 / 사전의
"proceed
[proʊˈsiːd]"	핵심 뜻: 진행하다 / 계속하다
"prominent
[ˈprɑː.mə.nənt]"	핵심 뜻: 두드러진 / 저명한
"proportion
[prəˈpɔːr.ʃən]"	"핵심 뜻: 비율 / 부분
구분: proportion=전체 대비 비율 / ratio=두 수의 비"
"protocol
[ˈproʊ.t̬ə.kɑːl]"	"핵심 뜻: 절차 / 규약
구분: protocol=공식 절차 / procedure=절차"
"ratio
[ˈreɪ.ʃi.oʊ]"	"핵심 뜻: 비율 / 비
구분: ratio=두 수의 비 / proportion=전체 대비 비율"
