"pickup
[ˈpɪk.ʌp]"	핵심 뜻: 수령
"handoff
[ˈhænd.ɑːf]"	핵심 뜻: 인계
"inbox
[ˈɪn.bɑːks]"	핵심 뜻: 받은 편지함
"outbox
[ˈaʊt.bɑːks]"	핵심 뜻: 보낸 편지함
"sender
[ˈsen.dɚ]"	핵심 뜻: 보낸 사람
"salutation
[ˌsæl.jəˈteɪ.ʃən]"	핵심 뜻: 인사말
"timeslot
[ˈtaɪmˌslɑːt]"	핵심 뜻: 시간대
"callback
[ˈkɑːl.bæk]"	핵심 뜻: 회신 전화
"voicemail
[ˈvɔɪ.s.meɪl]"	핵심 뜻: 음성 메시지
"overrun
[ˌoʊ.vɚˈrʌn]"	핵심 뜻: 초과 진행되다
"frontdesk
[ˈfrʌnt.desk]"	핵심 뜻: 안내 데스크
"helpdesk
[ˈhelpdesk]"	핵심 뜻: 지원 창구
"workstation
[ˈwɝːkˌsteɪ.ʃən]"	핵심 뜻: 작업용 자리
"workspace
[ˈwɝːk.speɪs]"	핵심 뜻: 작업 공간
"proofread
[ˈpruːf.riːd]"	"핵심 뜻: 교정하다 / 오탈자를 점검하다
구분: proofread=오탈자만 교정하다 / revise=내용까지 고쳐 다듬다"
"reword
[ˌriːˈwɝːd]"	"핵심 뜻: 바꿔 쓰다
구분: reword=표현만 바꿔 쓰다 / paraphrase=의미를 풀어 다시 쓰다"
"redraft
[ˌriːˈdræft]"	"핵심 뜻: 초안을 다시 쓰다
구분: redraft=초안을 다시 쓰다 / revise=일부를 고쳐 다듬다"
"markup
[ˈmɑːrk.ʌp]"	핵심 뜻: 수정 표시
"waiver
[ˈweɪ.vɚ]"	"핵심 뜻: 면제서 / 면제 승인
구분: waiver=요건·비용 면제 / exemption=규정상 면제"
"refund
[ˈriː.fʌnd]"	"핵심 뜻: 환불
구분: refund=낸 돈을 돌려줌 / reimbursement=쓴 비용을 되갚음"
"invoice
[ˈɪn.vɔɪs]"	"핵심 뜻: 청구서
구분: invoice=청구서 / receipt=지불 증빙 영수증"
"receipt
[rɪˈsiːt]"	"핵심 뜻: 영수증
구분: receipt=영수증 / invoice=청구서"
"deposit
[dɪˈpɑː.zɪt]"	"핵심 뜻: 보증금
구분: deposit=보증금·예치금 / fee=서비스 수수료"
"stipend
[ˈstaɪ.pend]"	"핵심 뜻: 정액 지원금 / 생활 지원금
구분: stipend=정액 지원금 / salary=근로 대가 급여"
"reimbursement
[ˌriː.ɪmˈbɝːs.mənt]"	"핵심 뜻: 비용 상환
구분: reimbursement=쓴 비용을 되갚음 / refund=낸 돈을 돌려줌"
"referee
[ˌref.əˈriː]"	"핵심 뜻: 추천인
구분: referee=추천인·심판 / recommender=추천서 맥락 추천인"
"recommender
[ˌrek.əˈmen.dɚ]"	"핵심 뜻: 추천인
구분: recommender=추천서 맥락 추천인 / referee=추천인·심판"
"sync
[sɪŋk]"	핵심 뜻: 동기화하다
"backup
[ˈbæk.ʌp]"	"핵심 뜻: 백업
구분: backup=복구용 예비본 / archive=장기 보관본"
"login
[ˈlɑːɡ.ɪn]"	핵심 뜻: 로그인
"logout
[ˈlɑːɡ.aʊt]"	핵심 뜻: 로그아웃
"username
[ˈjuː.zɚ.neɪm]"	핵심 뜻: 사용자 이름
"passcode
[ˈpæs.koʊd]"	핵심 뜻: 인증 코드
"timesheet
[ˈtaɪm.ʃiːt]"	핵심 뜻: 근무시간 기록표
"queue
[kjuː]"	핵심 뜻: 대기열
"waittime
[ˈweɪt.taɪm]"	핵심 뜻: 대기 시간
"locker
[ˈlɑː.kɚ]"	핵심 뜻: 보관함
"keycard
[ˈkiː.kɑːrd]"	핵심 뜻: 출입 카드
"shuttle
[ˈʃʌt̬.əl]"	핵심 뜻: 셔틀
"registrar
[ˈredʒ.ə.strɑːr]"	"핵심 뜻: 학사 등록 담당 부서
구분: registrar=등록·성적 기록 담당 부서 / advisor=학업 조언 담당"
"doublecheck
[ˌdʌb.əlˈtʃek]"	핵심 뜻: 재확인하다
"crosscheck
[ˈkrɑːs.tʃek]"	"핵심 뜻: 교차 확인하다
구분: crosscheck=서로 대조해 확인하다 / verify=사실 여부를 확인하다"
"slot
[slɑːt]"	핵심 뜻: 시간·자리 한 칸
"headcount
[ˈhed.kaʊnt]"	핵심 뜻: 인원수
"turnout
[ˈtɝːn.aʊt]"	핵심 뜻: 참석률
"retake
[ˌriːˈteɪk]"	"핵심 뜻: 재응시하다
구분: retake=시험을 다시 보다 / repeat=과목·과정을 다시 듣다"
"regrade
[ˌriːˈɡreɪd]"	"핵심 뜻: 재채점하다
구분: regrade=재채점하다 / appeal=이의 제기하다"
"appeal
[əˈpiːl]"	"핵심 뜻: 이의를 제기하다
구분: appeal=공식적으로 이의 제기하다 / complain=불만을 말하다"
"reopen
[ˌriːˈoʊ.pən]"	핵심 뜻: 다시 열다
"resubmit
[ˌriː.səbˈmɪt]"	"핵심 뜻: 다시 제출하다
구분: resubmit=수정 후 다시 제출하다 / reapply=다시 지원하다"
"overwrite
[ˌoʊ.vɚˈraɪt]"	핵심 뜻: 덮어쓰다
"walkthrough
[ˈwɑːk.θruː]"	핵심 뜻: 단계별 안내
"setup
[ˈset̬ˌʌp]"	핵심 뜻: 설정
"spellcheck
[ˈspelˌtʃek]"	핵심 뜻: 맞춤법 검사
"handout
[ˈhænd.aʊt]"	핵심 뜻: 배포 자료
"printout
[ˈprɪnt.aʊt]"	핵심 뜻: 인쇄물
"scan
[skæn]"	"핵심 뜻: 스캔하다
구분: scan=문서를 디지털로 읽다 / photocopy=종이로 복사하다"
"photocopy
[ˈfoʊ.t̬oʊˌkɑː.pi]"	"핵심 뜻: 복사하다
구분: photocopy=종이로 복사하다 / scan=디지털로 읽다"
"slides
[slaɪd]"	핵심 뜻: 발표 슬라이드
"projector
[prəˈdʒek.tɚ]"	핵심 뜻: 프로젝터
"turnaround
[ˈtɝːn.ɚ.aʊnd]"	"핵심 뜻: 처리 소요 시간 / 회신 속도
구분: turnaround=처리 완료까지 걸리는 시간 / deadline=끝내야 하는 시점"
"leadtime
[ˈliːd.taɪm]"	"핵심 뜻: 사전 준비 기간
구분: leadtime=시작 전에 필요한 준비 기간 / delay=예정보다 늦어짐"
"timeframe
[ˈtaɪm ˌfreɪm]"	핵심 뜻: 기간 틀
